id,jurisdiction,geo_scope,country,state,state_code,title,tech_category,status,effective_date,risk_score,risk_rag,criticality,evidence_status,source_count
REG-38C350F1,United States (Federal),US_FEDERAL,,United States,,Biometrics Transparency and Privacy Act,Biometrics,Enacted,2026-05-02,20,Red,5,Partially,1
REG-7F322C3F,United States (Federal),US_FEDERAL,,United States,,Consumer Data Privacy Bill / SB 4,Data Privacy,Enacted,2026-05-04,20,Red,5,Partially,1
REG-5848DCC8,United States (Federal),US_FEDERAL,,United States,,California Privacy Protection Agency data broker enforcement priorities,Data Privacy,Enacted,2026-05-05,20,Red,5,Partially,1
REG-45C72A7C,United States (Federal),US_FEDERAL,,United States,,Foreign Intelligence Surveillance Act (FISA),AI,Enacted,2026-03-09,20,Red,5,Partially,12
REG-B9609F32,United States (Federal),US_FEDERAL,,United States,,Richmond Flock ALPR data-sharing policy violation,ALPR/LPR,Enacted,2026-05-01,20,Red,5,Partially,1
REG-49E72604,United States (Federal),US_FEDERAL,,United States,,Connecticut license plate reader immigration data-sharing law,ALPR/LPR,Enacted,2026-05-04,20,Red,5,Partially,1
REG-33AFF227,United States (Federal),US_FEDERAL,,United States,,Sunflower Labs FAA waiver for one operator to control six drones,Drones/UAS,Enacted,2026-05-05,20,Red,5,Partially,1
REG-BDDA865A,United States (Federal),US_FEDERAL,,United States,,Illinois BIPA government-contractor exemption decision,Biometrics,Enacted,2026-05-07,20,Red,5,Partially,1
REG-C2ED9C27,United States (Federal),US_FEDERAL,,United States,,Virginia Consumer Data Protection Act - SB 338 precise geolocation amendment,Data Privacy,Enacted,2026-04-13,20,Red,5,Partially,11
REG-43C32934,India,COUNTRY,India,India,,Delhi High Court Interim Protection Order,AI,Enacted,2026-05-10,20,Red,5,Partially,1
REG-358B0D39,United States (Federal),US_FEDERAL,,United States,,Municipal Flock Camera Approvals,ALPR/LPR,Enacted,2026-05-10,20,Red,5,Partially,1
REG-ED774D10,United States (Federal),US_FEDERAL,,United States,,California Senate Bill 34 (2015),ALPR/LPR,Enacted,2015-10-01,20,Red,5,Partially,1
REG-69816F95,United States (Federal),US_FEDERAL,,United States,,Texas lawsuit against Netflix under child data and biometric privacy theories,Biometrics,Enacted,2026-05-13,20,Red,5,Partially,1
REG-44184567,United States (Federal),US_FEDERAL,,United States,,Amazon biometric suit over John Hancock customer calls,Biometrics,Enacted,2026-05-13,20,Red,5,Partially,1
REG-36D38359,United States (Federal),US_FEDERAL,,United States,,Syracuse biometric surveillance business ban,Biometrics,Enacted,2026-05-18,20,Red,5,Partially,1
REG-1AA609ED,United States (Federal),US_FEDERAL,,United States,,SB26-189 Automated Decision-Making Technology,AI,Enacted,2026-05-14,20,Red,5,Partially,1
REG-5C8D556D,United States (Federal),US_FEDERAL,,United States,,Syracuse Biometric Surveillance Law,Biometrics,Enacted,2026-05-19,20,Red,5,Partially,1
REG-92D2C036,United States (Federal),US_FEDERAL,,United States,,Kentucky HB58 ALPR data-use requirements,ALPR/LPR,Enacted,2026-05-21,20,Red,5,Partially,1
REG-532A738B,United States (Federal),US_FEDERAL,,United States,,Texas AG investigation into Meta AI glasses biometric/privacy practices,Biometrics,Enacted,2026-05-22,20,Red,5,Partially,1
REG-E0AAB3F4,United States (Federal),US_FEDERAL,,United States,,New Jersey Privacy Protection Act ALPR protections,ALPR/LPR,Enacted,2026-05-22,20,Red,5,Partially,1
REG-C3A4086C,United States (Federal),US_FEDERAL,,United States,,Missouri lawsuit against CoinFlip over crypto ATM fraud claims,Data Privacy,Enacted,2026-05-23,20,Red,5,Partially,1
REG-DDDD7EDF,United States (Federal),US_FEDERAL,,United States,,Biometric Transparency and Privacy Act,Biometrics,Enacted,2026-05-26,20,Red,5,Partially,1
REG-52F9788E,United States (Federal),US_FEDERAL,,United States,,Connecticut privacy bill expanding Connecticut Data Privacy Act,Data Privacy,Enacted,2026-05-28,20,Red,5,Partially,1
REG-4674C337,United States (Federal),US_FEDERAL,,United States,,Colorado AI Act,AI,Enacted,2026-02-01,20,Red,5,Partially,10
REG-155A7879,Sweden,COUNTRY,Sweden,Sweden,,Police use of live facial recognition,Biometrics,Enacted,2026-05-31,20,Red,5,Partially,1
REG-88499BAF,"Illinois, USA",US_STATE,,Illinois,IL,Biometric Information Privacy Act (BIPA) Amendment,Biometrics,Enacted,2026-04-02,20,Red,5,Partially,1
REG-9D528979,"Colorado, USA",US_STATE,,Colorado,CO,Colorado Privacy Act (CPA) Amendment,Biometrics,Enacted,2026-04-02,20,Red,5,Partially,1
REG-0E904819,United States (Federal),US_FEDERAL,,United States,,Unknown,Data Privacy,Enacted,2026-04-03,20,Red,5,Partially,1
REG-DB33763D,United States (Federal),US_FEDERAL,,United States,,NIST AI RMF 1.0,AI,Enacted,2026-04-03,20,Red,5,Partially,1
REG-3C861CAD,United States (Federal),US_FEDERAL,,United States,,FAA Flight Restriction,Drones/UAS,Enacted,2026-04-03,20,Red,5,Partially,1
REG-73116297,United States (Federal),US_FEDERAL,,United States,,Genetic Privacy Law,Data Privacy,Enacted,2026-04-04,20,Red,5,Partially,2
REG-672EC1F6,United States (Federal),US_FEDERAL,,United States,,RAISE Act,AI,Enacted,2026-04-04,20,Red,5,Partially,1
REG-A009DF69,China,COUNTRY,China,China,,Digital Humans Regulation,AI,Enacted,2026-04-04,20,Red,5,Partially,1
REG-3B704C30,United States (Federal),US_FEDERAL,,United States,,AI Safety Agreement,AI,Enacted,2026-04-04,20,Red,5,Partially,1
REG-B13C5BCF,South Korea,COUNTRY,South Korea,South Korea,,AI Safety Act,AI,Enacted,2026-04-06,20,Red,5,Partially,1
REG-0D9BCB36,United States (Federal),US_FEDERAL,,United States,,License Plate Reader Privacy Law,ALPR/LPR,Enacted,2026-04-05,20,Red,5,Partially,1
REG-587019AF,South Korea,COUNTRY,South Korea,South Korea,,Basic Act on the Development of Artificial Intelligence,AI,Enacted,2026-04-08,20,Red,5,Partially,1
REG-F164800E,China,COUNTRY,China,China,,Industrial and Supply Chain Security Regulations,AI,Enacted,2026-04-07,20,Red,5,Partially,1
REG-EB2C77DB,United States (Federal),US_FEDERAL,,United States,,FTC Act Section 5,AI,Enacted,2026-04-08,20,Red,5,Partially,1
REG-9C6011BF,United States (Federal),US_FEDERAL,,United States,,Urbandale ALPR Disclosure Ordinance,ALPR/LPR,Enacted,,20,Red,5,Partially,1
REG-E3EDFD1D,United States (Federal),US_FEDERAL,,United States,,Virginia Biometric Data Laws (HB1301/SB122),Biometrics,Enacted,,20,Red,5,Partially,1
REG-D39BE920,United States (Federal),US_FEDERAL,,United States,,Oklahoma Consumer Data Privacy Law,Data Privacy,Enacted,,20,Red,5,Partially,1
REG-6EEE2D1F,United States (Federal),US_FEDERAL,,United States,,Executive Order on AI,AI,Enacted,2025-12-31,20,Red,5,Partially,8
REG-250654B3,United States (Federal),US_FEDERAL,,United States,,Driver Privacy Act,ALPR/LPR,Enacted,2026-04-12,20,Red,5,Partially,1
REG-027D58B3,United States (Federal),US_FEDERAL,,United States,,FAA/Pentagon Agreement,Drones/UAS,Enacted,2026-04-12,20,Red,5,Partially,1
REG-42EC5936,United States (Federal),US_FEDERAL,,United States,,Retail Crime Task Force,Surveillance,Enacted,2026-04-12,20,Red,5,Partially,1
REG-79FB9B24,United States (Federal),US_FEDERAL,,United States,,Data Privacy Law,Data Privacy,Enacted,2026-04-12,20,Red,5,Partially,2
REG-0BD019D1,United States (Federal),US_FEDERAL,,United States,,Executive Order,AI,Enacted,2026-04-12,20,Red,5,Partially,1
REG-C0D1AB03,Global,GLOBAL,Global,,,Supply chain security framework,AI,Enacted,2026-03-31,20,Red,5,Partially,1
REG-B0B01FD3,United States (Federal),US_FEDERAL,,United States,,State Privacy Laws,ALPR/LPR,Enacted,2026-03-08,20,Red,5,Partially,2
REG-DD487590,United States (Federal),US_FEDERAL,,United States,,Police Department Policy,ALPR/LPR,Enacted,,20,Red,5,Partially,1
REG-C3ABD9CD,United States (Federal),US_FEDERAL,,United States,,California Privacy Rights Act (CPRA),Data Privacy,Enacted,,20,Red,5,Partially,1
REG-BC284D00,United States (Federal),US_FEDERAL,,United States,,White House Executive Order,AI,Enacted,2025-12-11,20,Red,5,Partially,2
REG-400CB0EE,United States (Federal),US_FEDERAL,,United States,,Biometric Privacy Law,Biometrics,Enacted,,20,Red,5,Partially,1
REG-B6BC31B8,United States (Federal),US_FEDERAL,,United States,,FAA Anti-Drone Laser Approval,Drones/UAS,Enacted,5046-01-01,20,Red,5,Partially,1
REG-D4CF253F,United States (Federal),US_FEDERAL,,United States,,Colorado Privacy Act (CPA) Expansions,Biometrics,Enacted,5779-01-01,20,Red,5,Partially,1
REG-4E65CF4E,United States (Federal),US_FEDERAL,,United States,,City Council Contract Approval (SB 34 Compliance),ALPR/LPR,Enacted,1914-11-12,20,Red,5,Partially,1
REG-82398FD5,United States (Federal),US_FEDERAL,,United States,,S.B. 338 (Precise Location Data Ban),Data Privacy,Enacted,6946-01-01,20,Red,5,Partially,1
REG-50BC574A,United States (Federal),US_FEDERAL,,United States,,S.B. 338 / S.B. 388 (Virginia Consumer Data Protection Act Amendment),Data Privacy,Enacted,2026-04-13,20,Red,5,Partially,1
REG-36C81001,United States (Federal),US_FEDERAL,,United States,,Federal Class-Action Lawsuit,ALPR/LPR,Enacted,2026-04-16,20,Red,5,Partially,1
REG-E858FD91,United States (Federal),US_FEDERAL,,United States,,County Board Vote,ALPR/LPR,Enacted,2026-04-16,20,Red,5,Partially,1
REG-A4649ABF,United States (Federal),US_FEDERAL,,United States,,Executive Order 14365 & National AI Legislative Framework,AI,Enacted,2025-12-11,20,Red,5,Partially,1
REG-61641275,United States (Federal),US_FEDERAL,,United States,,Oregon ALPR Law,ALPR/LPR,Enacted,2026-04-23,20,Red,5,Partially,1
REG-5ED21949,United States (Federal),US_FEDERAL,,United States,,Alabama Personal Data Protection Act (APDPA),Data Privacy,Enacted,2026-04-23,20,Red,5,Partially,1
REG-FA611D1F,United States (Federal),US_FEDERAL,,United States,,FTC Unfair or Deceptive Trade Practices,Data Privacy,Enacted,2026-04-23,20,Red,5,Partially,1
REG-BAFB01C3,Ireland,COUNTRY,Ireland,Ireland,,GDPR,AI,Enacted,2026-04-22,20,Red,5,Partially,2
REG-91A68806,"Illinois, USA",US_STATE,,Illinois,IL,Biometric Information Privacy Act (BIPA),Biometrics,Enacted,,20,Red,5,Partially,30
REG-63B45FD2,"Colorado, USA",US_STATE,,Colorado,CO,Colorado Privacy Act,AI,Enacted,,20,Red,5,Partially,1
REG-5CD0E1EC,United States (Federal),US_FEDERAL,,United States,,NIST AI Risk Management Framework,AI,Enacted,2023-01-26,20,Red,5,Partially,10
REG-B7632D9B,United States (Federal),US_FEDERAL,,United States,,Electronic Communications Privacy Act (ECPA),Data Privacy,Enacted,,20,Red,5,Partially,2
REG-86169BEA,"Washington, USA",US_STATE,,Washington,WA,Washington Mass Surveillance Law,ALPR/LPR,Enacted,,20,Red,5,Partially,1
REG-DA7DA109,United States (Federal),US_FEDERAL,,United States,,Executive Order 14271,Data Privacy,Enacted,,20,Red,5,Partially,1
REG-BB3E1051,United States (Federal),US_FEDERAL,,United States,,Maryland Surveillance Pricing Ban (SB 000),Data Privacy,Enacted,2026-04-27,20,Red,5,Partially,1
REG-93291962,United States (Federal),US_FEDERAL,,United States,,Connecticut Data Privacy Act (CTDPA) Amendments,Data Privacy,Enacted,2026-04-28,20,Red,5,Partially,1
REG-46812F2C,United States (Federal),US_FEDERAL,,United States,,Executive Order on AI (Trump),AI,Enacted,2025-12-11,20,Red,5,Partially,2
REG-7D236FB9,Greece,COUNTRY,Greece,Greece,,Smart Policing System Ruling,Biometrics,Enacted,2026-04-30,20,Red,5,Partially,1
REG-02AC694E,United States (Federal),US_FEDERAL,,United States,,Virginia State Law on ALPR,ALPR/LPR,Enacted,2026-03-01,20,Red,5,Partially,1
REG-D44F45F8,United States (Federal),US_FEDERAL,,United States,,Executive Order No. 14179,AI,Enacted,2025-12-01,20,Red,5,Partially,1
REG-2788B722,United States (Federal),US_FEDERAL,,United States,,Anthropic Supply Chain Risk Designation,AI,Enacted,2026-03-02,20,Red,5,Partially,1
REG-2718E94C,Spain,COUNTRY,Spain,Spain,,Spanish DPA Guidance on AI Images (GDPR),AI,Enacted,2026-03-02,20,Red,5,Partially,1
REG-CB472A20,United States (Federal),US_FEDERAL,,United States,,Drone Export Controls Reform,Drones/UAS,Enacted,2026-03-02,20,Red,5,Partially,1
REG-98057338,United States (Federal),US_FEDERAL,,United States,,President Trump Executive Order on AI,AI,Enacted,2026-03-03,20,Red,5,Partially,1
REG-50895B53,United States (Federal),US_FEDERAL,,United States,,US Treasury AI Risk Management Framework (FS AI RMF),AI,Enacted,2026-03-03,20,Red,5,Partially,1
REG-A5110A28,United States (Federal),US_FEDERAL,,United States,,Virginia ALPR Regulations,ALPR/LPR,Enacted,2026-03-03,20,Red,5,Partially,1
REG-E19E27A0,United States (Federal),US_FEDERAL,,United States,,California ALPR Law,ALPR/LPR,Enacted,,20,Red,5,Partially,1
REG-72B9A899,United States (Federal),US_FEDERAL,,United States,,Biometric Amendment to the Colorado Privacy Act,Biometrics,Enacted,,20,Red,5,Partially,1
REG-9E58D5BB,United States (Federal),US_FEDERAL,,United States,,Connecticut Data Privacy Act (CTDPA),Data Privacy,Enacted,2026-02-08,20,Red,5,Partially,2
REG-4B16AEEC,United States (Federal),US_FEDERAL,,United States,,Federal Contractor AI Ban,AI,Enacted,,20,Red,5,Partially,1
REG-B97FD53C,United States (Federal),US_FEDERAL,,United States,,Trump Executive Order on AI,AI,Enacted,,20,Red,5,Partially,1
REG-13762AEC,United States (Federal),US_FEDERAL,,United States,,National AI Safety Institute Regulation,AI,Enacted,2026-03-13,20,Red,5,Partially,3
REG-7E7BBA9B,United States (Federal),US_FEDERAL,,United States,,Administrative Review Tribunal (ART) Decision (Privacy Commissioner determination overturned),Biometrics,Enacted,2026-03-05,20,Red,5,Partially,1
REG-90B8E6DD,United States (Federal),US_FEDERAL,,United States,,Federal Statute (War Dept.),AI,Enacted,2026-03-08,20,Red,5,Partially,1
REG-957E7158,United States (Federal),US_FEDERAL,,United States,,Connecticut Data Privacy Act,Data Privacy,Enacted,2026-03-07,20,Red,5,Partially,4
REG-EE29ED95,Spain,COUNTRY,Spain,Spain,,GDPR Agentic AI Guidance,AI,Enacted,2026-03-07,20,Red,5,Partially,1
REG-8AC8AF3F,United States (Federal),US_FEDERAL,,United States,,ALPR Regulation Bill,ALPR/LPR,Enacted,2026-03-07,20,Red,5,Partially,1
REG-1609012C,United States (Federal),US_FEDERAL,,United States,,FTC Act Section 5 / PADFAA,Data Privacy,Enacted,2026-03-07,20,Red,5,Partially,1
REG-513CC638,United States (Federal),US_FEDERAL,,United States,,National Cyber Strategy,AI,Enacted,2026-03-09,20,Red,5,Partially,1
REG-59D0972F,United States (Federal),US_FEDERAL,,United States,,Data Privacy Act,Data Privacy,Enacted,2026-03-09,20,Red,5,Partially,1
REG-2A085653,United States (Federal),US_FEDERAL,,United States,,National Security Threat Designation,AI,Enacted,2026-03-08,20,Red,5,Partially,1
REG-EDF44235,United States (Federal),US_FEDERAL,,United States,,National Cyber Strategy,Data Privacy,Enacted,2026-03-08,20,Red,5,Partially,1
REG-4406E379,"New York, USA",US_STATE,,New York,NY,Privacy Lawsuit vs. Meta,Biometrics,Enacted,2026-03-09,20,Red,5,Partially,1
REG-7D3EF6A0,United States (Federal),US_FEDERAL,,United States,,National Cyber Strategy (Executive Order),Data Privacy,Enacted,2026-03-09,20,Red,5,Partially,1
REG-1047C939,United States (Federal),US_FEDERAL,,United States,,California AB 2013 (AI Training Data Transparency),AI,Enacted,2026-03-11,20,Red,5,Partially,1
REG-815E829D,United States (Federal),US_FEDERAL,,United States,,Flock Surveillance Camera Ban,Biometrics,Enacted,2026-03-11,20,Red,5,Partially,1
